Year,Max DHW,Max DHW MMM+1
2015,6.989838,1.422658
2016,6.355525,1.746182
2017,7.017957,2.003486
2018,8.618614,2.615546
2019,7.293214,1.895179
2020,8.726018,2.218422
2021,10.20759,3.023672
2022,8.225944,2.625801
2023,8.600574,2.518481
2024,9.891778,1.922057
2025,10.97293,3.159551
2026,10.00061,3.596738
2027,10.95519,3.501204
2028,13.68173,4.693651
2029,10.92182,3.216012
2030,13.74449,4.76718
2031,14.48392,4.777116
2032,12.12671,3.205987
2033,13.0778,4.700234
2034,13.72018,4.652851
2035,14.11092,5.1536
2036,16.01317,6.506782
2037,15.25527,5.102755
2038,16.01478,6.436371
2039,15.0669,5.187373
2040,17.0331,6.383817
2041,17.66154,7.068998
2042,17.90131,7.645447
2043,19.60865,8.754933
2044,20.65601,8.513042
2045,19.52925,7.745901
2046,16.90139,6.837946
2047,20.90301,9.927346
2048,22.97429,11.98822
2049,22.44364,10.17814
2050,22.34274,9.965246
2051,21.9951,11.19567
2052,22.9898,11.26854
2053,22.98756,12.05246
2054,23.89375,12.13003
2055,24.81238,14.02349
2056,26.48424,13.71122
2057,25.51168,12.9117
2058,26.92777,15.45503
2059,28.05392,15.26764
2060,28.45919,16.46487
2061,27.39706,15.96075
2062,29.05924,17.85291
2063,29.55324,17.25845
2064,28.53106,17.3202
2065,30.8906,18.57912
2066,32.25183,18.70139
2067,31.63902,20.17062
2068,31.45201,18.5284
2069,32.54788,21.06665
2070,35.34335,23.59621
2071,35.38905,23.20795
2072,34.0997,22.07345
2073,35.22297,22.91823
2074,35.35783,23.98078
2075,37.11378,24.4354
2076,37.83979,25.38719
2077,37.08833,23.69523
2078,37.7863,25.30894
2079,40.63585,27.7865
2080,39.67556,27.39326
2081,40.73906,27.93768
2082,41.75806,28.83602
2083,41.88514,28.60083
2084,42.8953,31.31473
2085,44.05294,32.29958
2086,42.81405,29.93983
2087,45.32432,32.79602
2088,47.17454,34.25204
2089,44.73678,31.03238
2090,45.22668,33.26507
2091,48.66064,35.84069
2092,48.29729,35.46536
2093,49.33723,37.77009
2094,50.74192,38.17391
2095,49.18603,36.512
2096,48.2901,36.30622
2097,52.28958,40.22948
2098,50.93082,37.66215
2099,51.80621,37.63381
2100,52.27181,39.78373